timestamp, mode, 40 Cp, 40 Rp, 42.077 Cp, 42.077 Rp, 44.263 Cp, 44.263 Rp, 46.562 Cp, 46.562 Rp, 48.98 Cp, 48.98 Rp, 51.524 Cp, 51.524 Rp, 54.2 Cp, 54.2 Rp, 57.015 Cp, 57.015 Rp, 59.976 Cp, 59.976 Rp, 63.091 Cp, 63.091 Rp, 66.368 Cp, 66.368 Rp, 69.815 Cp, 69.815 Rp, 73.441 Cp, 73.441 Rp, 77.255 Cp, 77.255 Rp, 81.267 Cp, 81.267 Rp, 85.488 Cp, 85.488 Rp, 89.928 Cp, 89.928 Rp, 94.599 Cp, 94.599 Rp, 99.512 Cp, 99.512 Rp, 104.68 Cp, 104.68 Rp, 110.117 Cp, 110.117 Rp, 115.836 Cp, 115.836 Rp, 121.852 Cp, 121.852 Rp, 128.181 Cp, 128.181 Rp, 134.838 Cp, 134.838 Rp, 141.841 Cp, 141.841 Rp, 149.208 Cp, 149.208 Rp, 156.957 Cp, 156.957 Rp, 165.109 Cp, 165.109 Rp, 173.685 Cp, 173.685 Rp, 182.705 Cp, 182.705 Rp, 192.194 Cp, 192.194 Rp, 202.176 Cp, 202.176 Rp, 212.677 Cp, 212.677 Rp, 223.723 Cp, 223.723 Rp, 235.342 Cp, 235.342 Rp, 247.565 Cp, 247.565 Rp, 260.423 Cp, 260.423 Rp, 273.948 Cp, 273.948 Rp, 288.176 Cp, 288.176 Rp, 303.143 Cp, 303.143 Rp, 318.888 Cp, 318.888 Rp, 335.45 Cp, 335.45 Rp, 352.872 Cp, 352.872 Rp, 371.199 Cp, 371.199 Rp, 390.478 Cp, 390.478 Rp, 410.758 Cp, 410.758 Rp, 432.092 Cp, 432.092 Rp, 454.533 Cp, 454.533 Rp, 478.14 Cp, 478.14 Rp, 502.973 Cp, 502.973 Rp, 529.096 Cp, 529.096 Rp, 556.576 Cp, 556.576 Rp, 585.483 Cp, 585.483 Rp, 615.891 Cp, 615.891 Rp, 647.878 Cp, 647.878 Rp, 681.527 Cp, 681.527 Rp, 716.924 Cp, 716.924 Rp, 754.158 Cp, 754.158 Rp, 793.327 Cp, 793.327 Rp, 834.53 Cp, 834.53 Rp, 877.873 Cp, 877.873 Rp, 923.467 Cp, 923.467 Rp, 971.429 Cp, 971.429 Rp, 1021.882 Cp, 1021.882 Rp, 1074.956 Cp, 1074.956 Rp, 1130.785 Cp, 1130.785 Rp, 1189.515 Cp, 1189.515 Rp, 1251.295 Cp, 1251.295 Rp, 1316.283 Cp, 1316.283 Rp, 1384.647 Cp, 1384.647 Rp, 1456.561 Cp, 1456.561 Rp, 1532.21 Cp, 1532.21 Rp, 1611.789 Cp, 1611.789 Rp, 1695.5 Cp, 1695.5 Rp, 1783.559 Cp, 1783.559 Rp, 1876.192 Cp, 1876.192 Rp, 1973.635 Cp, 1973.635 Rp, 2076.14 Cp, 2076.14 Rp, 2183.968 Cp, 2183.968 Rp, 2297.397 Cp, 2297.397 Rp, 2416.716 Cp, 2416.716 Rp, 2542.233 Cp, 2542.233 Rp, 2674.269 Cp, 2674.269 Rp, 2813.162 Cp, 2813.162 Rp, 2959.269 Cp, 2959.269 Rp, 3112.965 Cp, 3112.965 Rp, 3274.643 Cp, 3274.643 Rp, 3444.717 Cp, 3444.717 Rp, 3623.625 Cp, 3623.625 Rp, 3811.825 Cp, 3811.825 Rp, 4009.8 Cp, 4009.8 Rp, 4218.057 Cp, 4218.057 Rp, 4437.129 Cp, 4437.129 Rp, 4667.58 Cp, 4667.58 Rp, 4910 Cp, 4910 Rp, 5165.01 Cp, 5165.01 Rp, 5433.265 Cp, 5433.265 Rp, 5715.452 Cp, 5715.452 Rp, 6012.295 Cp, 6012.295 Rp, 6324.555 Cp, 6324.555 Rp, 6653.033 Cp, 6653.033 Rp, 6998.571 Cp, 6998.571 Rp, 7362.056 Cp, 7362.056 Rp, 7744.418 Cp, 7744.418 Rp, 8146.639 Cp, 8146.639 Rp, 8569.751 Cp, 8569.751 Rp, 9014.837 Cp, 9014.837 Rp, 9483.04 Cp, 9483.04 Rp, 9975.56 Cp, 9975.56 Rp, 10493.66 Cp, 10493.66 Rp, 11038.669 Cp, 11038.669 Rp, 11611.983 Cp, 11611.983 Rp, 12215.074 Cp, 12215.074 Rp, 12849.487 Cp, 12849.487 Rp, 13516.85 Cp, 13516.85 Rp, 14218.874 Cp, 14218.874 Rp, 14957.358 Cp, 14957.358 Rp, 15734.197 Cp, 15734.197 Rp, 16551.383 Cp, 16551.383 Rp, 17411.011 Cp, 17411.011 Rp, 18315.286 Cp, 18315.286 Rp, 19266.525 Cp, 19266.525 Rp, 20267.169 Cp, 20267.169 Rp, 21319.784 Cp, 21319.784 Rp, 22427.068 Cp, 22427.068 Rp, 23591.861 Cp, 23591.861 Rp, 24817.149 Cp, 24817.149 Rp, 26106.076 Cp, 26106.076 Rp, 27461.945 Cp, 27461.945 Rp, 28888.234 Cp, 28888.234 Rp, 30388.6 Cp, 30388.6 Rp, 31966.891 Cp, 31966.891 Rp, 33627.153 Cp, 33627.153 Rp, 35373.644 Cp, 35373.644 Rp, 37210.842 Cp, 37210.842 Rp, 39143.459 Cp, 39143.459 Rp, 41176.45 Cp, 41176.45 Rp, 43315.028 Cp, 43315.028 Rp, 45564.677 Cp, 45564.677 Rp, 47931.166 Cp, 47931.166 Rp, 50420.564 Cp, 50420.564 Rp, 53039.253 Cp, 53039.253 Rp, 55793.949 Cp, 55793.949 Rp, 58691.715 Cp, 58691.715 Rp, 61739.982 Cp, 61739.982 Rp, 64946.567 Cp, 64946.567 Rp, 68319.692 Cp, 68319.692 Rp, 71868.006 Cp, 71868.006 Rp, 75600.61 Cp, 75600.61 Rp, 79527.073 Cp, 79527.073 Rp, 83657.465 Cp, 83657.465 Rp, 88002.376 Cp, 88002.376 Rp, 92572.949 Cp, 92572.949 Rp, 97380.903 Cp, 97380.903 Rp, 102438.568 Cp, 102438.568 Rp, 107758.912 Cp, 107758.912 Rp, 113355.579 Cp, 113355.579 Rp, 119242.919 Cp, 119242.919 Rp, 125436.029 Cp, 125436.029 Rp, 131950.791 Cp, 131950.791 Rp, 138803.909 Cp, 138803.909 Rp, 146012.958 Cp, 146012.958 Rp, 153596.422 Cp, 153596.422 Rp, 161573.748 Cp, 161573.748 Rp, 169965.391 Cp, 169965.391 Rp, 178792.871 Cp, 178792.871 Rp, 188078.823 Cp, 188078.823 Rp, 197847.059 Cp, 197847.059 Rp, 208122.627 Cp, 208122.627 Rp, 218931.876 Cp, 218931.876 Rp, 230302.525 Cp, 230302.525 Rp, 242263.73 Cp, 242263.73 Rp, 254846.163 Cp, 254846.163 Rp, 268082.089 Cp, 268082.089 Rp, 282005.448 Cp, 282005.448 Rp, 296651.944 Cp, 296651.944 Rp, 312059.134 Cp, 312059.134 Rp, 328266.526 Cp, 328266.526 Rp, 345315.68 Cp, 345315.68 Rp, 363250.315 Cp, 363250.315 Rp, 382116.419 Cp, 382116.419 Rp, 401962.371 Cp, 401962.371 Rp, 422839.061 Cp, 422839.061 Rp, 444800.021 Cp, 444800.021 Rp, 467901.567 Cp, 467901.567 Rp, 492202.935 Cp, 492202.935 Rp, 517766.442 Cp, 517766.442 Rp, 544657.639 Cp, 544657.639 Rp, 572945.483 Cp, 572945.483 Rp, 602702.509 Cp, 602702.509 Rp, 634005.024 Cp, 634005.024 Rp, 666933.296 Cp, 666933.296 Rp, 701571.761 Cp, 701571.761 Rp, 738009.241 Cp, 738009.241 Rp, 776339.172 Cp, 776339.172 Rp, 816659.841 Cp, 816659.841 Rp, 859074.642 Cp, 859074.642 Rp, 903692.338 Cp, 903692.338 Rp, 950627.339 Cp, 950627.339 Rp, 1000000 Cp, 1000000 Rp
1767963123406, , 3.28198E-06, 381.93, 3.15471E-06, 370.901, 3.02783E-06, 360.958, 2.89733E-06, 351.824, 2.76666E-06, 343.365, 2.63745E-06, 335.49, 2.50852E-06, 328.065, 2.38154E-06, 321.125, 2.2568E-06, 314.651, 2.13402E-06, 308.646, 2.01428E-06, 303.02, 1.89805E-06, 297.743, 1.78634E-06, 292.796, 1.67899E-06, 288.105, 1.57656E-06, 283.655, 1.48117E-06, 279.2, 1.38743E-06, 275.25, 1.29787E-06, 271.517, 1.2128E-06, 267.988, 1.13183E-06, 264.629, 1.04838E-06, 262.449, 9.70254E-07, 260.372, 8.95988E-07, 258.38, 8.287E-07, 256.55, 7.65935E-07, 254.786, 7.0686E-07, 253.111, 6.51539E-07, 251.533, 6.0051E-07, 249.992, 5.53818E-07, 248.527, 5.10069E-07, 247.135, 4.69835E-07, 245.802, 4.32407E-07, 244.529, 3.97865E-07, 243.311, 3.66065E-07, 242.124, 3.36863E-07, 240.982, 3.09836E-07, 239.89, 2.8467E-07, 238.843, 2.61711E-07, 237.855, 2.40503E-07, 236.9, 2.20855E-07, 235.983, 2.02952E-07, 235.095, 1.86358E-07, 234.227, 1.71078E-07, 233.398, 1.57106E-07, 232.597, 1.44278E-07, 231.818, 1.3245E-07, 231.076, 1.21568E-07, 230.36, 1.11628E-07, 229.661, 1.02487E-07, 228.985, 9.40734E-08, 228.338, 8.6358E-08, 227.69, 7.93017E-08, 227.075, 7.28193E-08, 226.476, 6.68801E-08, 225.882, 6.14352E-08, 225.321, 5.64334E-08, 224.776, 5.18653E-08, 224.247, 4.76634E-08, 223.727, 4.38229E-08, 223.222, 4.03176E-08, 222.73, 3.7091E-08, 222.255, 3.41378E-08, 221.789, 3.1442E-08, 221.328, 2.89683E-08, 220.883, 2.67805E-08, 220.466, 2.46909E-08, 220.151, 2.2763E-08, 219.851, 2.1004E-08, 219.558, 1.94177E-08, 219.276, 1.79513E-08, 219, 1.66017E-08, 218.729, 1.53795E-08, 218.46, 1.4273E-08, 218.199, 1.32473E-08, 217.934, 1.23141E-08, 217.677, 1.14625E-08, 217.432, 1.06911E-08, 217.194, 9.9776E-09, 216.958, 9.32951E-09, 216.724, 8.73838E-09, 216.49, 8.20091E-09, 216.261, 7.70284E-09, 216.037, 7.25464E-09, 215.817, 6.84352E-09, 215.603, 6.4675E-09, 215.389, 6.12411E-09, 215.182, 5.81018E-09, 214.974, 5.52304E-09, 214.771, 5.26351E-09, 214.571, 5.02545E-09, 214.361, 4.80817E-09, 214.153, 4.60991E-09, 213.954, 4.42902E-09, 213.763, 4.2627E-09, 213.572, 4.11267E-09, 213.385, 3.97516E-09, 213.201, 3.84914E-09, 213.017, 3.73423E-09, 212.836, 3.62995E-09, 212.657, 3.53401E-09, 212.479, 3.44654E-09, 212.303, 3.36693E-09, 212.13, 3.29442E-09, 211.959, 3.22842E-09, 211.79, 3.16779E-09, 211.621, 3.11183E-09, 211.466, 3.06187E-09, 211.308, 3.01505E-09, 211.154, 2.97359E-09, 211.004, 2.93523E-09, 210.855, 2.90028E-09, 210.706, 2.86792E-09, 210.541, 2.83851E-09, 210.385, 2.8114E-09, 210.231, 2.78729E-09, 210.081, 2.76522E-09, 209.932, 2.74527E-09, 209.784, 2.72695E-09, 209.636, 2.71038E-09, 209.494, 2.69512E-09, 209.347, 2.68096E-09, 209.198, 2.66822E-09, 209.061, 2.65654E-09, 208.926, 2.64552E-09, 208.79, 2.63599E-09, 208.659, 2.62709E-09, 208.527, 2.61907E-09, 208.395, 2.61174E-09, 208.268, 2.60474E-09, 208.14, 2.59887E-09, 208.001, 2.59292E-09, 207.875, 2.588E-09, 207.748, 2.58305E-09, 207.623, 2.57868E-09, 207.496, 2.57487E-09, 207.371, 2.57123E-09, 207.246, 2.56801E-09, 207.123, 2.56493E-09, 206.988, 2.56227E-09, 206.864, 2.55972E-09, 206.745, 2.55741E-09, 206.626, 2.55537E-09, 206.508, 2.55346E-09, 206.391, 2.55167E-09, 206.273, 2.55001E-09, 206.145, 2.54836E-09, 206.033, 2.54726E-09, 205.914, 2.54601E-09, 205.799, 2.54494E-09, 205.685, 2.54384E-09, 205.573, 2.5429E-09, 205.461, 2.54202E-09, 205.342, 2.54121E-09, 205.233, 2.54048E-09, 205.122, 2.53978E-09, 205.013, 2.53914E-09, 204.905, 2.53859E-09, 204.793, 2.53803E-09, 204.677, 2.53752E-09, 204.568, 2.53702E-09, 204.458, 2.53663E-09, 204.35, 2.53624E-09, 204.24, 2.53585E-09, 204.128, 2.53551E-09, 204.02, 2.53517E-09, 203.913, 2.53488E-09, 203.805, 2.53459E-09, 203.699, 2.53431E-09, 203.593, 2.53406E-09, 203.482, 2.53384E-09, 203.374, 2.53359E-09, 203.268, 2.53339E-09, 203.162, 2.53317E-09, 203.055, 2.53298E-09, 202.938, 2.53279E-09, 202.832, 2.53255E-09, 202.727, 2.53235E-09, 202.621, 2.53217E-09, 202.514, 2.532E-09, 202.407, 2.53183E-09, 202.301, 2.53163E-09, 202.183, 2.53146E-09, 202.078, 2.5313E-09, 201.974, 2.5312E-09, 201.865, 2.53106E-09, 201.758, 2.53094E-09, 201.656, 2.53075E-09, 201.544, 2.53061E-09, 201.435, 2.53042E-09, 201.337, 2.53033E-09, 201.234, 2.53009E-09, 201.121, 2.53003E-09, 201.023, 2.52991E-09, 200.902, 2.52973E-09, 200.799, 2.5297E-09, 200.707, 2.52955E-09, 200.584, 2.52944E-09, 200.495, 2.52932E-09, 200.395, 2.52915E-09, 200.284, 2.52905E-09, 200.181, 2.52892E-09, 200.092
1767963190126, , 6.53612E-06, 276.504, 6.11371E-06, 271.03, 5.72398E-06, 266.257, 5.35528E-06, 261.837, 5.00697E-06, 257.707, 4.67867E-06, 253.831, 4.36743E-06, 250.155, 4.07395E-06, 246.665, 3.79799E-06, 243.359, 3.53787E-06, 240.246, 3.29244E-06, 237.295, 3.06147E-06, 234.516, 2.84514E-06, 231.888, 2.64157E-06, 229.395, 2.45119E-06, 227.03, 2.27314E-06, 224.78, 2.10636E-06, 222.644, 1.95052E-06, 220.631, 1.80514E-06, 218.716, 1.66896E-06, 216.9, 1.54093E-06, 215.354, 1.42162E-06, 213.889, 1.30888E-06, 212.485, 1.20688E-06, 211.203, 1.11223E-06, 209.97, 1.0236E-06, 208.806, 9.41098E-07, 207.709, 8.65053E-07, 206.653, 7.95646E-07, 205.668, 7.30838E-07, 204.731, 6.71359E-07, 203.858, 6.16258E-07, 203.034, 5.6543E-07, 202.251, 5.18861E-07, 201.499, 4.76148E-07, 200.788, 4.3671E-07, 200.118, 4.00119E-07, 199.48, 3.66863E-07, 198.883, 3.36261E-07, 198.313, 3.07948E-07, 197.771, 2.82196E-07, 197.258, 2.58417E-07, 196.759, 2.36592E-07, 196.29, 2.16671E-07, 195.843, 1.98423E-07, 195.417, 1.8164E-07, 195.013, 1.66259E-07, 194.631, 1.52208E-07, 194.266, 1.39351E-07, 193.917, 1.27566E-07, 193.588, 1.16731E-07, 193.27, 1.06895E-07, 192.96, 9.78627E-08, 192.665, 8.96127E-08, 192.378, 8.20727E-08, 192.107, 7.51706E-08, 191.847, 6.88642E-08, 191.599, 6.3098E-08, 191.359, 5.7825E-08, 191.128, 5.30167E-08, 190.906, 4.86175E-08, 190.695, 4.45944E-08, 190.488, 4.09255E-08, 190.288, 3.75785E-08, 190.096, 3.46045E-08, 189.923, 3.17986E-08, 189.768, 2.92283E-08, 189.62, 2.6877E-08, 189.479, 2.47631E-08, 189.344, 2.28102E-08, 189.214, 2.10115E-08, 189.087, 1.93892E-08, 188.963, 1.79186E-08, 188.845, 1.65593E-08, 188.727, 1.53218E-08, 188.613, 1.42002E-08, 188.504, 1.31807E-08, 188.401, 1.2239E-08, 188.299, 1.13858E-08, 188.203, 1.06051E-08, 188.104, 9.89739E-09, 188.008, 9.24515E-09, 187.915, 8.65629E-09, 187.826, 8.11509E-09, 187.739, 7.62508E-09, 187.654, 7.17677E-09, 187.572, 6.766E-09, 187.489, 6.39253E-09, 187.41, 6.05165E-09, 187.332, 5.74253E-09, 187.253, 5.45951E-09, 187.174, 5.20083E-09, 187.103, 4.96657E-09, 187.03, 4.75174E-09, 186.96, 4.55606E-09, 186.889, 4.37879E-09, 186.822, 4.21561E-09, 186.755, 4.06772E-09, 186.689, 3.93264E-09, 186.625, 3.80871E-09, 186.56, 3.69662E-09, 186.498, 3.59358E-09, 186.436, 3.50019E-09, 186.376, 3.4151E-09, 186.315, 3.33736E-09, 186.256, 3.2671E-09, 186.202, 3.20217E-09, 186.147, 3.14252E-09, 186.093, 3.08951E-09, 186.04, 3.0404E-09, 185.987, 2.99607E-09, 185.935, 2.95451E-09, 185.879, 2.91756E-09, 185.825, 2.88238E-09, 185.771, 2.85151E-09, 185.722, 2.82321E-09, 185.671, 2.79833E-09, 185.621, 2.7749E-09, 185.57, 2.75476E-09, 185.519, 2.73473E-09, 185.474, 2.71717E-09, 185.423, 2.70062E-09, 185.376, 2.68616E-09, 185.33, 2.67236E-09, 185.287, 2.65999E-09, 185.24, 2.64871E-09, 185.195, 2.63861E-09, 185.152, 2.62924E-09, 185.108, 2.62084E-09, 185.063, 2.61324E-09, 185.019, 2.60624E-09, 184.977, 2.59975E-09, 184.933, 2.59374E-09, 184.891, 2.58824E-09, 184.849, 2.58328E-09, 184.806, 2.5788E-09, 184.765, 2.57469E-09, 184.724, 2.57093E-09, 184.679, 2.56757E-09, 184.637, 2.56438E-09, 184.598, 2.56162E-09, 184.557, 2.55899E-09, 184.517, 2.55664E-09, 184.476, 2.55439E-09, 184.438, 2.55245E-09, 184.394, 2.5504E-09, 184.353, 2.54898E-09, 184.315, 2.54747E-09, 184.275, 2.54609E-09, 184.238, 2.54472E-09, 184.199, 2.54358E-09, 184.162, 2.54253E-09, 184.12, 2.54153E-09, 184.082, 2.54061E-09, 184.046, 2.53979E-09, 184.008, 2.53906E-09, 183.971, 2.53832E-09, 183.933, 2.53767E-09, 183.892, 2.53709E-09, 183.856, 2.53653E-09, 183.816, 2.53605E-09, 183.779, 2.53558E-09, 183.74, 2.53518E-09, 183.699, 2.53479E-09, 183.662, 2.53446E-09, 183.623, 2.53412E-09, 183.585, 2.53379E-09, 183.548, 2.53349E-09, 183.51, 2.53324E-09, 183.47, 2.53299E-09, 183.431, 2.53279E-09, 183.391, 2.53255E-09, 183.354, 2.53235E-09, 183.315, 2.53215E-09, 183.272, 2.53196E-09, 183.234, 2.53178E-09, 183.194, 2.53158E-09, 183.156, 2.53142E-09, 183.115, 2.53128E-09, 183.074, 2.53112E-09, 183.034, 2.53097E-09, 182.99, 2.5308E-09, 182.948, 2.53067E-09, 182.907, 2.5306E-09, 182.865, 2.53048E-09, 182.821, 2.53036E-09, 182.777, 2.53022E-09, 182.737, 2.53008E-09, 182.695, 2.52992E-09, 182.653, 2.52985E-09, 182.615, 2.52962E-09, 182.562, 2.52963E-09, 182.527, 2.52948E-09, 182.464, 2.52936E-09, 182.428, 2.52933E-09, 182.387, 2.52918E-09, 182.33, 2.52909E-09, 182.3, 2.52894E-09, 182.253, 2.52884E-09, 182.208, 2.52873E-09, 182.161, 2.52861E-09, 182.128
1767963256534, , 7.41821E-06, 260.685, 6.93724E-06, 255.361, 6.49252E-06, 250.764, 6.07186E-06, 246.518, 5.6747E-06, 242.561, 5.30002E-06, 238.862, 4.94492E-06, 235.367, 4.61021E-06, 232.05, 4.29554E-06, 228.919, 3.99925E-06, 225.973, 3.71965E-06, 223.19, 3.45687E-06, 220.568, 3.21069E-06, 218.094, 2.97925E-06, 215.758, 2.7629E-06, 213.548, 2.56055E-06, 211.448, 2.37113E-06, 209.463, 2.19437E-06, 207.594, 2.02944E-06, 205.823, 1.87513E-06, 204.149, 1.7314E-06, 202.652, 1.59737E-06, 201.237, 1.47073E-06, 199.884, 1.3561E-06, 198.645, 1.24977E-06, 197.462, 1.15029E-06, 196.342, 1.05749E-06, 195.29, 9.72015E-07, 194.282, 8.93896E-07, 193.342, 8.20984E-07, 192.454, 7.54095E-07, 191.627, 6.92057E-07, 190.848, 6.34886E-07, 190.115, 5.82528E-07, 189.408, 5.34423E-07, 188.749, 4.90016E-07, 188.125, 4.48822E-07, 187.537, 4.11456E-07, 186.987, 3.76993E-07, 186.464, 3.45129E-07, 185.968, 3.16169E-07, 185.502, 2.89409E-07, 185.05, 2.64881E-07, 184.627, 2.42494E-07, 184.226, 2.21969E-07, 183.847, 2.03106E-07, 183.49, 1.85831E-07, 183.153, 1.70046E-07, 182.834, 1.55607E-07, 182.532, 1.42373E-07, 182.247, 1.30225E-07, 181.975, 1.19163E-07, 181.71, 1.09046E-07, 181.458, 9.97976E-08, 181.218, 9.1332E-08, 180.991, 8.35947E-08, 180.774, 7.65356E-08, 180.567, 7.00869E-08, 180.37, 6.41761E-08, 180.181, 5.87982E-08, 180, 5.38762E-08, 179.83, 4.93804E-08, 179.666, 4.52754E-08, 179.507, 4.15389E-08, 179.356, 3.82075E-08, 179.221, 3.5078E-08, 179.093, 3.22156E-08, 178.97, 2.95928E-08, 178.854, 2.72396E-08, 178.744, 2.50678E-08, 178.638, 2.30631E-08, 178.536, 2.1254E-08, 178.436, 1.96189E-08, 178.341, 1.81063E-08, 178.248, 1.67297E-08, 178.159, 1.548E-08, 178.074, 1.43437E-08, 177.993, 1.32975E-08, 177.914, 1.23515E-08, 177.841, 1.14859E-08, 177.765, 1.06968E-08, 177.695, 9.97155E-09, 177.625, 9.3185E-09, 177.558, 8.71912E-09, 177.493, 8.17319E-09, 177.431, 7.67526E-09, 177.37, 7.21992E-09, 177.312, 6.80452E-09, 177.253, 6.42857E-09, 177.197, 6.08386E-09, 177.141, 5.7702E-09, 177.086, 5.48596E-09, 177.037, 5.22456E-09, 176.986, 4.98723E-09, 176.938, 4.76962E-09, 176.89, 4.57239E-09, 176.843, 4.39331E-09, 176.799, 4.22815E-09, 176.754, 4.07915E-09, 176.711, 3.94216E-09, 176.668, 3.81661E-09, 176.625, 3.70435E-09, 176.585, 3.60061E-09, 176.545, 3.50732E-09, 176.506, 3.42103E-09, 176.468, 3.34316E-09, 176.434, 3.27101E-09, 176.398, 3.20557E-09, 176.362, 3.14684E-09, 176.328, 3.09271E-09, 176.294, 3.04381E-09, 176.261, 2.99791E-09, 176.225, 2.95675E-09, 176.192, 2.91831E-09, 176.159, 2.88471E-09, 176.128, 2.85333E-09, 176.097, 2.8254E-09, 176.065, 2.79938E-09, 176.034, 2.77684E-09, 176.004, 2.75552E-09, 175.976, 2.73562E-09, 175.946, 2.71803E-09, 175.918, 2.70131E-09, 175.89, 2.68665E-09, 175.862, 2.67309E-09, 175.836, 2.66086E-09, 175.81, 2.64957E-09, 175.781, 2.63891E-09, 175.755, 2.63022E-09, 175.728, 2.62115E-09, 175.702, 2.61338E-09, 175.678, 2.60646E-09, 175.652, 2.60001E-09, 175.626, 2.59412E-09, 175.602, 2.58855E-09, 175.577, 2.58354E-09, 175.552, 2.57901E-09, 175.528, 2.57492E-09, 175.502, 2.57114E-09, 175.477, 2.56778E-09, 175.455, 2.56467E-09, 175.431, 2.56182E-09, 175.408, 2.55917E-09, 175.384, 2.55671E-09, 175.362, 2.55459E-09, 175.338, 2.55244E-09, 175.312, 2.55072E-09, 175.291, 2.54908E-09, 175.269, 2.54755E-09, 175.247, 2.54617E-09, 175.225, 2.5448E-09, 175.203, 2.54365E-09, 175.18, 2.54259E-09, 175.157, 2.5416E-09, 175.137, 2.54069E-09, 175.115, 2.53986E-09, 175.093, 2.53912E-09, 175.07, 2.53842E-09, 175.046, 2.53773E-09, 175.026, 2.53715E-09, 175.001, 2.53661E-09, 174.979, 2.53613E-09, 174.957, 2.53567E-09, 174.933, 2.53521E-09, 174.912, 2.53485E-09, 174.889, 2.53452E-09, 174.867, 2.53414E-09, 174.844, 2.53384E-09, 174.821, 2.53355E-09, 174.798, 2.53331E-09, 174.775, 2.53306E-09, 174.752, 2.53281E-09, 174.728, 2.53257E-09, 174.706, 2.5324E-09, 174.681, 2.5322E-09, 174.658, 2.53198E-09, 174.635, 2.53178E-09, 174.61, 2.53163E-09, 174.586, 2.53145E-09, 174.561, 2.5313E-09, 174.535, 2.53116E-09, 174.509, 2.53098E-09, 174.482, 2.53088E-09, 174.456, 2.53077E-09, 174.429, 2.53067E-09, 174.403, 2.53051E-09, 174.375, 2.53038E-09, 174.348, 2.53027E-09, 174.327, 2.53008E-09, 174.295, 2.53002E-09, 174.274, 2.52981E-09, 174.233, 2.5298E-09, 174.215, 2.52966E-09, 174.17, 2.52953E-09, 174.149, 2.52951E-09, 174.118, 2.52934E-09, 174.081, 2.52927E-09, 174.065, 2.52911E-09, 174.033, 2.52902E-09, 174.004, 2.5289E-09, 173.972, 2.52877E-09, 173.951
